top,lat,lon,humidity,temp,accel,dust
$data,50.842617,4.322808,37.70,25.40,0.05,168
$data,50.842651,4.322832,37.70,25.40,0.00,147
$data,50.842693,4.322862,37.70,25.30,0.05,169
$data,50.842731,4.322890,37.70,25.30,0.00,194
$data,50.842773,4.322925,37.70,25.40,0.00,150
$data,50.842815,4.322963,37.70,25.40,0.00,171
$data,50.842845,4.323003,37.60,25.30,0.00,142
$data,50.842887,4.323043,37.60,25.30,0.00,215
$data,50.842929,4.323076,37.60,25.30,0.00,172
$data,50.842960,4.323115,37.60,25.30,0.00,163
$data,50.843002,4.323150,37.40,25.30,0.00,137
$data,50.843040,4.323192,37.40,25.30,0.15,130
$data,50.843074,4.323225,37.30,25.30,0.00,145
$data,50.843105,4.323258,37.30,25.30,0.05,171
$data,50.843154,4.323288,37.40,25.30,0.00,70
$data,50.843196,4.323332,37.40,25.30,0.05,170
$data,50.843238,4.323375,37.20,25.30,0.00,527
$data,50.843269,4.323418,37.20,25.30,0.10,197
$data,50.843311,4.323477,37.30,25.30,0.20,257
$data,50.843349,4.323532,37.30,25.30,0.00,171
$data,50.843391,4.323592,37.20,25.30,0.00,143
$data,50.843433,4.323650,37.20,25.30,0.00,147
$data,50.843471,4.323718,37.20,25.30,0.00,123
$data,50.843521,4.323782,37.20,25.30,0.00,144
$data,50.843570,4.323843,36.80,25.30,0.00,147
$data,50.843620,4.323908,36.80,25.30,0.20,155
$data,50.843662,4.323970,36.80,25.30,0.00,135
$data,50.843708,4.324042,36.80,25.30,0.05,148
$data,50.843750,4.324117,36.70,25.30,0.05,163
$data,50.843807,4.324192,36.70,25.30,0.05,151
$data,50.843849,4.324265,36.60,25.30,0.05,144
$data,50.843894,4.324332,36.60,25.30,0.05,126
$data,50.843944,4.324400,36.60,25.30,0.10,156
$data,50.843986,4.324471,36.60,25.30,0.00,175
$data,50.844036,4.324552,36.60,25.30,0.10,166
$data,50.844081,4.324623,36.60,25.30,0.00,156
$data,50.844123,4.324693,36.60,25.30,0.35,161
$data,50.844173,4.324760,36.60,25.30,0.05,138
$data,50.844215,4.324833,36.40,25.30,0.05,193
$data,50.844245,4.324910,36.40,25.30,0.00,140
$data,50.844287,4.324982,36.30,25.30,0.05,135
$data,50.844326,4.325047,36.30,25.30,0.10,178
$data,50.844360,4.325111,36.40,25.30,0.00,180
$data,50.844375,4.325165,36.40,25.30,0.00,172
$data,50.844402,4.325223,36.20,25.30,0.00,158
$data,50.844425,4.325282,36.20,25.30,0.00,151
$data,50.844459,4.325342,35.80,25.30,0.00,163
$data,50.844482,4.325397,35.80,25.30,0.00,154
$data,50.844516,4.325444,35.50,25.30,0.05,142
$data,50.844532,4.325503,35.50,25.30,0.05,171
$data,50.844516,4.325548,35.70,25.30,0.00,160
$data,50.844482,4.325583,35.70,25.30,0.00,130
$data,50.844474,4.325603,35.80,25.30,0.00,178
$data,50.844467,4.325616,35.80,25.30,0.20,113
$data,50.844474,4.325616,35.80,25.30,0.15,156
$data,50.844482,4.325615,35.80,25.30,0.00,156
$data,50.844490,4.325625,36.00,25.20,0.35,158
$data,50.844490,4.325630,36.00,25.20,0.15,120
$data,50.844482,4.325633,36.20,25.20,0.05,157
$data,50.844482,4.325637,36.20,25.20,0.45,153
$data,50.844482,4.325638,36.10,25.20,0.15,177
$data,50.844482,4.325640,36.10,25.20,0.00,163
$data,50.844482,4.325640,36.10,25.20,0.00,0
$data,50.844474,4.325640,36.10,25.20,0.05,88
$data,50.844474,4.325641,36.00,25.20,0.00,172
$data,50.844474,4.325640,36.00,25.20,0.00,129
$data,50.844474,4.325638,36.00,25.20,0.05,124
$data,50.844482,4.325637,36.00,25.20,0.00,152
$data,50.844474,4.325638,36.10,25.20,0.00,138
$data,50.844474,4.325641,36.10,25.20,0.00,133
$data,50.844467,4.325646,36.10,25.20,0.00,512
$data,50.844459,4.325662,36.10,25.20,0.00,687
$data,50.844440,4.325716,36.00,25.20,0.00,167
$data,50.844425,4.325747,36.00,25.20,0.05,142
$data,50.844417,4.325788,35.90,25.20,0.05,150
