top,lat,lon,humidity,temp,accel,dust
$data,50.841480,4.322388,27.30,25.60,0.00,149
$data,50.841480,4.322390,27.30,25.60,0.00,178
$data,50.841480,4.322393,27.30,25.60,0.00,162
$data,50.841480,4.322403,27.30,25.60,0.00,167
$data,50.841487,4.322397,27.20,25.60,0.00,153
$data,50.841495,4.322390,27.20,25.60,0.00,179
$data,50.841495,4.322379,27.20,25.60,0.00,158
$data,50.841487,4.322363,27.20,25.60,0.00,190
$data,50.841472,4.322351,27.20,25.60,0.00,154
$data,50.841464,4.322347,27.20,25.60,0.00,172
$data,50.841445,4.322340,27.30,25.60,0.00,167
$data,50.841423,4.322328,27.30,25.60,0.00,162
$data,50.841407,4.322321,27.30,25.60,0.00,171
$data,50.841388,4.322313,27.30,25.60,0.00,180
$data,50.841388,4.322313,27.30,25.60,0.00,172
$data,50.841388,4.322315,27.30,25.60,0.00,137
$data,50.841388,4.322319,27.20,25.60,0.00,135
$data,50.841388,4.322333,27.20,25.60,0.00,170
$data,50.841396,4.322341,27.20,25.60,0.00,144
$data,50.841396,4.322349,27.20,25.60,0.00,176
$data,50.841396,4.322351,27.20,25.60,0.00,149
$data,50.841407,4.322362,27.20,25.60,0.00,156
$data,50.841415,4.322377,27.30,25.60,0.00,198
$data,50.841415,4.322387,27.30,25.60,0.00,168
$data,50.841415,4.322390,27.30,25.60,0.00,165
$data,50.841430,4.322397,27.30,25.60,0.00,181
$data,50.841430,4.322412,27.30,25.50,0.00,149
$data,50.841438,4.322417,27.30,25.50,0.00,161
$data,50.841438,4.322423,27.30,25.60,0.00,169
$data,50.841438,4.322426,27.30,25.60,0.00,176
$data,50.841438,4.322439,27.30,25.60,0.00,152
$data,50.841438,4.322447,27.30,25.60,0.00,154
$data,50.841438,4.322443,27.30,25.60,0.00,165
$data,50.841438,4.322447,27.30,25.60,0.00,150
$data,50.841445,4.322453,27.30,25.60,0.00,181
$data,50.841445,4.322458,27.30,25.60,0.00,163
$data,50.841445,4.322466,27.40,25.60,0.00,178
$data,50.841453,4.322484,27.40,25.60,0.00,184
$data,50.841453,4.322485,27.40,25.60,0.00,162
$data,50.841453,4.322485,27.40,25.60,0.00,153
$data,50.841453,4.322494,27.40,25.60,0.00,181
$data,50.841464,4.322499,27.40,25.60,0.00,218
$data,50.841480,4.322499,27.40,25.60,0.00,166
$data,50.841495,4.322496,27.40,25.60,0.00,162
$data,50.841518,4.322503,27.40,25.60,0.00,160
$data,50.841545,4.322513,27.40,25.60,0.00,150
